StreetAddress,City,State,ZipCode,price
492 Stroop Hill Road,Atlanta,GA,30309,495794
2867 Chapel Street,Sugar Land,TX,77478,333486
3663 Jones Street,Cleburne,TX,76031,118092
2242 Filbert Street,Downingtown,PA,19335,796389
866 Crestview Manor,Indianapolis,IN,46234,271542
1962 Steele Street,Chicago,IL,60601,704912
2480 Oral Lake Road,Golden Valley,MN,55427,880617
2202 Walnut Hill Drive,Cincinnati,OH,45214,552336
521 Crestview Manor,Indianapolis,IN,46214,726121
4999 Sycamore Lake Road,Menasha,WI,54952,966813
3111 Williams Lane,Wichita,KS,67202,791324
110 Boundary Street,Jacksonville,FL,32202,763632
4942 Kenwood Place,Fort Lauderdale,FL,33306,134619
1541 Terra Street,Vancouver,WA,98662,514646
618 Patterson Street,Houston,TX,77055,749654
3381 Pinewood Avenue,Marquette,MI,49855,392328
2981 Elliott Street,Dover,NH,3820,833052
990 Eden Drive,Richmond,VA,23220,612576
3858 Breezewood Court,Chanute,KS,66720,213184
2177 Pine Garden Lane,Alpharetta,GA,30201,278627
682 Marshville Road,Pearl River,NY,10965,740415
4558 Village View Drive,Fort Myers,FL,33901,413260
186 Scott Street,Monroe,NY,10950,398149
4977 Terra Street,Port Townsend,WA,98363,172423
1350 Deer Haven Drive,Greenville,SC,29607,873317
85 Martha Ellen Drive,Reno,NV,89503,721975
3754 Glen Street,Paducah,KY,42001,945434
537 Maple Lane,Huntsville,AL,35801,598612
1664 Ingram Road,Winston Salem,NC,27101,114168
4928 Sigley Road,Topeka,KS,66608,926273
1272 Hillcrest Circle,Maple Plain,MN,55359,218837
1080 Havanna Street,Greensboro,NC,27407,885956
2796 Ventura Drive,Salinas,CA,93901,784890
666 Bungalow Road,Superior,NE,68978,160331
3613 Eagle Lane,Two Harbors,MN,55616,147810
2402 Raintree Boulevard,Indianapolis,IN,46240,127639
1176 Lyndon Street,Nazareth,PA,18064,825877
226 Stoney Lane,Irving,TX,75039,402746
4216 Arbutus Drive,Boca Raton,FL,33486,199124
4965 B Street,Minneapolis,MN,55406,429717
1607 Selah Way,Brattleboro,VT,5301,866557
2893 Adonais Way,Tucker,GA,30084,712946
2516 Ridge Road,Wichita,KS,67202,894983
2723 Chandler Hollow Road,Pittsburgh,PA,15201,632355
2064 Elliott Street,Manchester,NH,3101,676141
3148 Whiteman Street,Camden,NJ,8102,587612
1921 Huntz Lane,Concord,MA,1742,958754
4689 Broad Street,Tuscaloosa,AL,35401,877066
4467 Tuna Street,Bloomfield Township,MI,48302,468825
3890 Holt Street,Delray Beach,FL,33483,291731
